StationsId,Stationsnamn,Latitude,Longitude,Height,Value
188790,Abisko,68.353791,18.816438,392.303,-4.8
167710,Arjeplog A,66.051337,17.839638,430.839,-9.7
159880,Arvidsjaur A,65.594059,19.264192,382.45,-9.0
92410,Arvika A,59.67426,12.635414,65.758,-3.2
84340,Axstål Mo,58.5719,14.5722,91.0,1.4
62180,Barkåkra,56.2979,12.8441,18.0,-1.7
98040,Berga Mo,59.0688,18.1184,4.0,-1.7
151280,Bjuröklubb A,64.479937,21.575395,35.41,-0.8
92130,Blomskog A,59.221298,12.07544,169.645,-0.4
132110,Blåhammaren A,63.1864,12.1761,1090.0,-5.1
161940,Boden Mo,65.8151,21.6396,25.0,-8.5
105260,Borlänge Flygplats,60.4294,15.5079,152.0,-3.4
127130,Brämön A,62.219794,17.739043,18.13,1.0
157870,Buresjön A,65.557969,17.855422,394.05,-11.0
123460,Börtnan A,62.754813,13.842737,467.246,-7.6
94390,Daglösen A,59.661182,14.180272,133.077,-3.5
123060,Dravagen A,62.09357,13.60862,566.642,-8.7
115220,Edsbyn A,61.360655,15.714382,183.648,-9.9
107440,Eggegrund A,60.729808,17.55835,3.731,0.0
97370,Enköping Mo,59.6557,17.1121,26.0,-3.3
96190,Eskilstuna A,59.382072,16.452618,12.577,-2.8
52240,Falsterbo A,55.383698,12.8166,1.575,4.2
107140,Film A,60.235807,17.90432,33.381,-3.8
96040,Floda A,59.055828,16.394354,31.337,-2.4
148040,Fredrika A,64.074384,18.361876,327.684,-9.0
134110,Frösön,63.1974,14.4863,376.0,-0.1
78550,Fårösund Ar A,57.916537,18.953317,12.756,-0.1
134410,Föllinge A,63.676114,14.604795,361.8,-3.5
155790,Gielas A,65.326863,15.064473,578.328,-8.3
76420,Gladhammar A,57.706792,16.452623,35.277,-2.3
89230,Gotska Sandön A,58.393938,19.193992,15.911,-1.1
145130,Gubbhögen A,64.217157,15.552907,310.221,-5.9
147560,Gunnarn A,65.009413,17.699266,275.491,-11.3
103100,Gustavsfors A,60.153272,13.79903,187.153,-4.8
144310,Gäddede A,64.504446,14.220701,553.025,-1.3
180760,Gällivare A,67.140743,20.641312,358.975,-11.8
107420,Gävle A,60.716082,17.160666,16.125,-5.0
84520,Gårdsjö A,58.876807,14.387526,210.675,-0.1
71420,Göteborg A,57.715642,11.992377,3.038,3.9
74180,Hagshult Mo,57.2926,14.1399,169.0,-2.7
62260,Hallands Väderö A,56.449629,12.545327,9.172,3.7
135460,Hallhåxåsen A,63.768458,15.327907,375.391,-3.0
114410,Hamra A,61.659866,14.991798,453.588,-3.0
64020,Hanö A,56.0135,14.846294,58.622,3.1
163960,Haparanda A,65.8237,24.111235,13.243,-4.3
87140,Harstena A,58.2505,17.0106,14.0,1.8
62040,Helsingborg A,56.0304,12.7653,43.0,-0.0
155970,Hemavan Flygplats,65.8077,15.0854,458.0,-2.4
138390,Hemling A,63.650327,18.546578,182.186,-9.8
68560,Hoburg A,56.920945,18.150568,34.118,1.1
140460,Holmön A,63.806963,20.864478,6.535,-0.7
75520,Horn A,57.886124,15.862283,89.822,-3.6
146050,Hoting A,64.087476,16.235561,241.55,-7.5
125440,Hunge A,62.75036,15.084452,343.238,-8.2
83190,Hällum A,58.321774,13.037921,70.071,-0.7
63160,Hästveda Mo,56.2799,13.9432,103.0,-0.1
53530,Hörby A,55.863303,13.666218,113.388,1.1
112540,Idre Fjäll A,61.888611,12.852089,869.407,-2.6
170860,Jokkmokk Flygplats Mo,66.499,20.131,275.0,-10.4
136410,Junsele A,63.683914,16.949956,218.766,-8.0
139260,Järnäsklubb A,63.435094,19.673059,5.928,-3.2
74460,Jönköpings Flygplats,57.7514,14.0733,226.0,-1.9
66420,Kalmar Flygplats,56.6784,16.2922,6.0,-0.4
84310,Karlsborg Mo,58.514,14.5102,95.0,-0.8
65090,Karlskrona-Söderstjerna Mo,56.1498,15.5921,2.0,3.5
93220,Karlstad Flygplats,59.4446,13.3374,107.0,0.5
188850,Katterjåkk A,68.420182,18.168044,514.248,-7.9
106160,Kerstinbo A,60.268299,16.973839,55.695,-3.5
85460,Kettstaka A,58.716164,15.027133,224.876,1.0
94190,Kilsbergen-Suttarboda A,59.299555,14.895562,218.353,-1.0
180940,Kiruna Flygplats,67.827,20.3387,459.0,-7.8
95540,Kloten A,59.870323,15.252243,283.21,-5.2
124300,Klövsjöhöjden A,62.495239,14.154154,802.503,-2.9
86420,Kolmården-Strömsfors A,58.689188,16.306889,153.613,1.0
133500,Korsvattnet A,63.838513,13.500889,716.605,-3.3
65510,Kosta Mo,56.8403,15.47,230.0,-2.7
82360,Kroppefjäll-Granan A,58.606504,12.197295,173.75,0.9
136090,Krångede A,63.151232,16.169932,183.123,-9.3
117430,Kuggören A,61.702663,17.521597,8.568,0.1
85390,Kvarn Mo,58.6277,15.4372,72.0,-3.1
167990,Kvikkjokk-Årrenjarka A,66.88735,18.019798,314.692,-13.5
171790,Lakaträsk A,66.278871,21.128535,185.031,-12.3
87440,Landsort A,58.742854,17.868392,17.484,2.1
72420,Landvetter Flygplats,57.6764,12.2919,154.0,-1.5
180770,Latnivaara A,67.255054,20.270367,453.191,-13.0
162860,Luleå Flygplats,65.5434,22.1193,17.0,-7.2
128390,Lungö A,62.641715,18.089929,14.325,-1.9
148330,Lycksele A,64.548121,18.713023,210.07,-12.0
85050,Malexander A,58.071585,15.232986,197.27,-1.9
85240,Malmslätt,58.4004,15.5327,93.0,-1.3
52350,Malmö A,55.571456,13.070773,19.757,0.4
103420,Malung A,60.676531,13.707191,302.583,-4.9
158740,Malå-Brännan A,65.151174,18.59351,363.111,-4.7
166910,Mierkenis A,66.680211,16.105291,613.982,-10.6
104580,Mora A,60.960076,14.504145,195.417,-1.1
75250,Målilla A,57.384546,15.800855,95.667,-2.6
81050,Måseskär A,58.093727,11.331159,14.973,5.0
191910,Naimakka A,68.676196,21.5229,402.202,-14.3
170930,Nattavaara A,66.751555,20.923763,327.631,-15.5
83420,Naven A,58.6998,13.1109,53.0,2.1
179960,Nikkaluokta A,67.852698,19.021199,466.765,-16.7
81540,Nordkoster A,58.89199,11.003808,33.362,3.9
86340,Norrköping-SMHI,58.582785,16.147034,40.334,0.4
149560,Norsjö A,64.92526,19.374376,309.576,-10.8
183750,Pajala A,67.20363,23.389945,163.774,-15.0
182910,Parkalompolo A,67.73014,22.821936,312.183,-9.1
149340,Petisträsk A,64.565933,19.694343,258.047,-16.1
161710,Pite-Rönnskär A,65.033984,21.560895,4.878,-4.0
189720,Rensjön A,68.073031,19.835086,493.651,-15.4
177930,Ritsem A,67.72546,17.466779,541.214,-7.7
65160,Ronneby-Bredåkra,56.2619,15.2742,58.0,0.9
73480,Rångedala A,57.784635,13.164167,297.467,0.0
162790,Rödkallen A,65.312069,22.37093,1.932,-1.8
182810,Saittarova A,67.336272,22.228813,240.652,-5.8
96560,Sala A,59.909311,16.684333,56.575,-1.1
139120,Skagsudde A,63.187151,19.01994,9.343,-0.6
98160,Skarpö A,59.344558,18.740434,19.287,-1.4
151380,Skellefteå Flygplats,64.62440000000001,21.0717,48.0,-4.0
154730,Stekenjokk A,65.0942,14.5085,1036.0,-6.5
98230,Stockholm A,59.341681,18.054928,43.133,2.0
97400,Stockholm-Arlanda,59.6269,17.9545,42.0,-2.2
97200,Stockholm-Bromma,59.3537,17.9513,14.0,-1.5
178860,Stora Sjöfallet A,67.494825,18.290721,426.536,-5.9
105220,Stora Spånsberget A,60.381674,15.137371,492.257,-4.5
132170,Storlien-Storvallen A,63.282631,12.121811,583.124,0.7
163900,Storön A,65.697197,23.095864,2.394,-7.5
53300,Sturup,55.5231,13.3787,72.0,0.1
127310,Sundsvalls Flygplats,62.5246,17.441,4.0,-6.9
93520,Sunne A,59.863883,13.116605,108.947,-2.6
124030,Sveg A,62.046231,14.406853,357.187,-11.1
99280,Svenska Högarna A,59.4423,19.502219,11.811,0.1
132030,Sylarna A,63.043754,12.274849,1030.11,-3.0
113420,Särna A,61.6912,13.1865,425.0,-6.2
82260,Såtenäs,58.4358,12.7075,54.0,0.5
99450,Söderarm A,59.753119,19.405373,14.006,0.4
178970,Tarfala A,67.91235,18.610118,1143.653,-9.9
169790,Tjåkaape Mo,66.3002,19.2,581.0,-7.5
74300,Tomtabacken A,57.498089,14.464492,355.895,-0.6
126290,Torpshammar A,62.4943,16.2774,99.0,-8.2
63590,Torup A,56.949431,13.060081,132.532,0.3
97100,Tullinge A,59.178503,17.909265,44.858,-3.4
122260,Tännäs A,62.449379,12.667573,723.013,-3.0
72090,Ullared A,57.113375,12.773209,122.356,-2.9
140480,Umeå Flygplats,63.794700000000006,20.291800000000002,14.0,-6.6
97510,Uppsala Aut,59.8586,17.6253,13.0,-0.6
97530,Uppsala Flygplats,59.8953,17.5935,21.0,-1.0
55570,Utklippan A,55.9557,15.7077,3.0,3.9
160970,Vidsel Mo,65.8769,20.1543,182.0,-12.1
146350,Vilhelmina A,64.579825,16.838565,348.198,-11.8
71380,Vinga A,57.632214,11.604796,18.205,4.6
78400,Visby Flygplats,57.6614,18.3428,42.0,0.4
84050,Visingsö A,58.094814,14.405769,93.582,0.8
81350,Väderöarna A,58.575989,11.066088,22.356,5.0
64510,Växjö A,56.846284,14.829566,198.861,0.6
173900,Ylinenjärvi A,66.622258,23.46345,133.672,-11.8
114140,Älvdalen A,61.253616,14.035505,251.633,-6.4
161910,Älvsbyn A,65.669133,21.061973,43.384,-14.3
106570,Åmot A,60.961403,16.427891,161.678,-6.2
147090,Åsele A,64.165033,17.315325,307.712,-12.4
77210,Ölands Norra Udde A,57.367077,17.095401,2.762,2.8
66110,Ölands Södra Udde A,56.19766,16.400492,1.53,3.9
95130,Örebro Flygplats,59.2289,15.0455,53.0,-0.7
138240,Örnsköldsviks Flygplats,63.4119,18.9797,108.0,-7.1
108320,Örskär A,60.525619,18.372944,6.539,-1.6
172770,Överkalix-Svartbyn A,66.261762,22.842747,61.024,-8.9
